Winery,Wine Name,Vintage,Appellation,Country,Class Nam,Price,Medal
Cicada Cellars,Red Blend,2019,Texas High Plains,USA,Premium Non- Bordeaux Blends>$25,30,S
Cicada Cellars,Tempranillo,2019,Texas High Plains,USA,Tempranillo,28,S
Cinquain Cellars,Estate Grown| Produced '&' Bottled Cabernet Sauvignon,2017,Paso Robles,USA,Cabernet Sauvignon,60,B
Cinquain Cellars,Lyrik Premium Bordeaux Blend,2018,Paso Robles,USA,Premium Bordeaux Blend >$25,60,B
Cinquain Cellars,Estate Grown| Produced '&' Bottled Touriga Nacional,2018,Paso Robles,USA,Spanish / Portugese / Argentine Reds,60,B
Cinquain Cellars,Estate Produced '&' Bottled Petite Petite Premium Red Blend,2018,Paso Robles,USA,Premium Non- Bordeaux Blends>$25,65,G
Cinquain Cellars,Estate Grown| Produced '&' Bottled Syrah,2018,Paso Robles,USA,Syrah / Shiraz,60,G
Cinquain Cellars,Estate Grown| Produced '&' Bottled Prose Premium Red Blend,2017,Paso Robles,USA,Premium Non- Bordeaux Blends>$25,60,S
CJSC Minsk Grape Wines Factory,Imperial Sparkling Rosé,2020,Moldova,Belarus,Rosé,3,B
Clarksburg Wine Company,Chenin Blanc,2020,Clarksburg,USA,Chenin Blanc .71% or above,21,G
Clarksburg Wine Company,Cabernet Franc,2018,Clarksburg,USA,Cabernet Franc,28,S
Clarksburg Wine Company,Chenin Blanc,2020,Clarksburg,USA,Chenin Blanc .7% or below,21,S
Clarksburg Wine Company,Chenin Blanc,2017,Clarksburg,USA,Chenin Blanc .71% or above,28,S
Clayhouse Winery,Cabernet Sauvignon,2019,Paso Robles,USA,Cabernet Sauvignon,18,B
Clayhouse Winery,Adobe Red Blend,2019,Paso Robles,USA,Non-Bordeaux Blend<$25,18,G
Clearwater Canyon,Umiker Estate Reserve Red Blend,2019,Lewis-Clark Valley,USA,Premium Non- Bordeaux Blends>$25,42,B
Clearwater Canyon,Coco's Reserve Blend No. 5 Red Blend,2019,Washington,USA,Premium Non- Bordeaux Blends>$25,38,B
Clearwater Canyon,Carmenère,2019,Washington,USA,Carmenère,32,G
Clearwater Canyon,Louis Delsol Cabernet Sauvignon,2019,Lewis-Clark Valley,USA,Cabernet Sauvignon,32,S
Clearwater Canyon,Malbec,2019,Washington,USA,Malbec,32,S
Clearwater Canyon,Merlot,2019,Lewis-Clark Valley,USA,Merlot,28,S
Clearwater Canyon,Renaissance Red Blend,2019,Lewis-Clark Valley,USA,Non-Bordeaux Blend<$25,23,S
Clearwater Canyon,Coco's Reserve Petite Sirah,2019,Washington,USA,Petite Sirah,38,S
Clearwater Canyon,The Wine Project Red Blend,2019,Washington,USA,Premium Non- Bordeaux Blends>$25,32,S
Cloud Break,Chardonnay,2020,California,USA,Chardonnay,10,S
Coastline,Cabernet Sauvignon,2019,Central Coast,USA,Cabernet Sauvignon,13,G
Coastline,Reserve Cabernet Sauvignon,2019,Paso Robles,USA,Cabernet Sauvignon,15,GG
Cody Kresta Vineyard and Winery,White Blend,2018,Lake Michigan Shore,USA,White Rhône Blend,22,B
Cody Kresta Vineyard and Winery,Cabernet Franc,2018,Lake Michigan Shore,USA,Cabernet Franc,40,S
Cody Kresta Vineyard and Winery,Trivina Premium Bordeaux Blend,2018,Lake Michigan Shore,USA,Premium Bordeaux Blend >$25,38,S
Cody Kresta Vineyard and Winery,Brut Sparkling Rosé,NV,Lake Michigan Shore,USA,Rosé,38,S
Cody Kresta Vineyard and Winery,Sauvignon Blanc,2020,Lake Michigan Shore,USA,Sauvignon Blanc,20,S
Comarca,Verdejo,2020,Spain,Spain,Spanish / Argentine/ Portugese White Varietals,20,B
Concoxion,Gently pressed| aged in French and American oak barrels for 12 months with a select portion aged in Redwood Empire Whiskey bourbon barrels for 8 months. Cabernet Sauvignon,2019,Monterey,USA,Cabernet Sauvignon,30,G
Convento. Oreja,Crianza,2019,DO Ribera del Duero,Spain,Tempranillo,35,G
Cooper Station,Cabernet Sauvignon,2019,Lodi,USA,Cabernet Sauvignon,14,S
Coqueverie,Petite Sirah,2018,California,USA,Petite Sirah,20,G
Corner 103,Cabernet Sauvignon,2019,Sonoma Valley,USA,Cabernet Sauvignon,60,B
Corner 103,Sparkling Rosé,NV,North Coast,USA,Rosé,45,B
Corner 103,Petit Verdot,2018,Alexander Valley,USA,Petit Verdot,60,G
Corner 103,Inspiration Premium Bordeaux Blend,2018,Sonoma County,USA,Premium Bordeaux Blend >$25,75,G
Corner 103,Chardonnay,2020,Sonoma Carneros,USA,Chardonnay,45,S
Corner 103,Malbec,2019,Sonoma County,USA,Malbec,55,S
Corner 103,Corner Cuvee Red Blend,2018,Sonoma County,USA,Premium Non- Bordeaux Blends>$25,55,S
Corner 103,Syrah,2019,Sonoma County,USA,Syrah / Shiraz,50,S
Corner 103,Zinfandel,2019,Sonoma Valley,USA,Zinfandel,50,S
Corner 103,Old Vine Zinfandel,2019,Central Coast,USA,Zinfandel,50,S
Cosentino Winery,THE Dark Red Wine,2020,Lodi,USA,Non-Bordeaux Blend<$25,15,B
Cosentino Winery,THE Cab Cabernet Sauvignon,2020,Lodi,USA,Cabernet Sauvignon,15,S
Covert Wineworks,Madison Petit Manseng,2020,Virginia,USA,Other White Varietal .7% or below,29,G
Covert Wineworks,Bebe Le Franc Cabernet Franc,2019,Virginia,USA,Cabernet Franc,34,S
Crab '&' Sole,Pinot Blanc,2020,Monterey County,USA,Pinot Blanc,20,S
Craftwork,Cabernet Sauvignon,2019,Monterey County,USA,Cabernet Sauvignon,20,S
Currant Bun,Red Blend,2020,California,USA,Non-Bordeaux Blend<$25,15,S
Cycles Gladiator,Sauvignon Blanc,2020,California,USA,Sauvignon Blanc,12,B
Cycles Gladiator,Chardonnay,2019,California,USA,Chardonnay,12,GG
Cycles Gladiator,Cabernet Sauvignon,2019,California,USA,Cabernet Sauvignon,12,S
Cycles Gladiator,Merlot,2019,California,USA,Merlot,12,S
Cycles Gladiator,Pinot Noir,2019,California,USA,Pinot Noir,12,S
D'Elissagaray,Basque Premium Red Blend,2017,California,USA,Premium Non- Bordeaux Blends>$25,35,G
Daitengu,Tengu Tokubetsu Junmai,2021,Fukushima,Japan,Saké,80,S
Daitengu,Usake Fall Release Hiyaoroshi Junmai,2021,Fukushima,Japan,Saké,35,S
DANCIN Vineyards,BRISE' Pinot Noir,2019,Oregon,USA,Pinot Noir,42,G
Dancing Crow Vineyards,Cabernet Sauvignon,2019,Lake County,USA,Cabernet Sauvignon,20,B
Dancing Crow Vineyards,Cabernet Sauvignon,2018,Lake County,USA,Cabernet Sauvignon,25,B
Dancing Crow Vineyards,"""Field Blend"" Premium Red Blend",2020,Kelsey Bench| Lake County,USA,Premium Non- Bordeaux Blends>$25,45,S
Dancing Dragonfly Winery,Polka White Blend,NV,American,USA,Other White Blend .7% or below,16,B
Dancing Dragonfly Winery,Marquessa Red Blend,2018,American,USA,Premium Non- Bordeaux Blends>$25,34,B
Dancing Dragonfly Winery,Vintners Reserve Rosé,2020,American,USA,Rosé,32,B
Dancing Dragonfly Winery,Tap Dance Red Blend,NV,American,USA,Sangiovese Blend,26,B
Dancing Dragonfly Winery,Ballroom Red Blend,2020,American,USA,Sangiovese Blend,20,G
Dancing Dragonfly Winery,Calypso White Blend,2020,American,USA,Hybrid White Blend,21,GG
Dancing Dragonfly Winery,Jig White Blend,2020,American,USA,Hybrid White Blend,16,S
Dancing Dragonfly Winery,Bill's Waltz Red Blend,2018,American,USA,Premium Non- Bordeaux Blends>$25,44,S
Davis Bynum Winery,Single Vineyard Chardonnay,2018,Russian River Valley,USA,Chardonnay,25,B
Davis Bynum Winery,Pinot Noir,2018,Russian River Valley| Sonoma County,USA,Pinot Noir,35,S
Davis Family Vineyards,Estate Pinot Noir,2019,Russian River Valley,USA,Pinot Noir,55,B
Davis Family Vineyards,Pinot Noir,2019,Russian River Valley,USA,Pinot Noir,45,B
Davis Family Vineyards,Neiborhood Series Santa Rosa Plains Pinot Noir,2019,Russian River Valley,USA,Pinot Noir,55,G
Davis Family Vineyards,CAB !!! Premium Bordeaux Blend,2018,Rockpile,USA,Premium Bordeaux Blend >$25,65,G
Davis Family Vineyards,Cuvee Luke White Blend,2019,Russian River Valley,USA,White Rhône Blend,32,G
Davis Family Vineyards,Chardonnay,2019,Russian River Valley,USA,Chardonnay,38,S
Day Owl,Rosé,2020,California,USA,Rosé,15,S
Deeply Rooted,Merlot,2019,Mendocino County,USA,Merlot,19,S
Delirio,Red Blend,2019,Valle de Guadalupe,Baja California,Red Rhône Blend,20,G
DeLoach Vineyards,Chardonnay,2019,Russian River Valley,USA,Chardonnay,23,B
DeLoach Vineyards,Heritage Reserve Chardonnay,2020,California,USA,Chardonnay,13,B
DeLoach Vineyards,Zinfandel,2019,Russian River Valley,USA,Zinfandel,23,B
DeLoach Vineyards,Heritage Reserve Cabernet Sauvignon,2019,California,USA,Cabernet Sauvignon,13,S
DeLoach Vineyards,Private Collection Pinot Noir,2019,Russian River Valley,USA,Pinot Noir,25,S
DeLoach Vineyards,Pinot Noir,2019,Russian River Valley,USA,Pinot Noir,145,S
Diamond Heart,Blanc de Blancs,2017,Marlborough,New Zealand,Blanc de Blanc,30,S
Diamond Heart,Waihopai Cuvee Brut,2017,Marlborough,New Zealand,Brut (less than 12 g/l),30,S
Diez Siglos Verdejo SL,Nekora Verdejo,2020,DO Rueda,Spain,Spanish / Argentine/ Portugese White Varietals,15,B
Diniz Cellars,Red Blend,2017,Dão,Portugal,Spanish / Portugese / Argentine Reds,19,B
Diniz Cellars,Reserva Lagar Red Blend,2016,Dão,Portugal,Spanish / Portugese / Argentine Reds,30,B
Doe Mill Vineyards,Zinfandel,2018,Sierra Foothills,USA,Zinfandel,18,G
Domenico Winery,Zinfandel,2016,Amador,USA,Primitivo,39,G
Domenico Winery,Barbera,2017,California,USA,Barbera,38,S
Domenico Winery,Cabernet Sauvignon,2017,Napa,USA,Cabernet Sauvignon,45,S
Domenico Winery,Pinot Noir,2018,Santa Cruz,USA,Pinot Noir,49,S
Domenico Winery,Syrah,2017,Amador,USA,Syrah / Shiraz,36,S
Don Miguel Gascon,Reserva Malbec,2018,Mendoza,USA,Malbec,25,S
Don Miguel Gascon,Malbec,2019,Mendoza,USA,Malbec,15,S
Donovan Parke,Chardonnay,2020,California,USA,Chardonnay,17,B
Donovan Parke,Pinot Noir,2020,California,USA,Pinot Noir,16,B
Donovan Parke,Sauvignon Blanc,2020,California,USA,Sauvignon Blanc,17,B
Doohickey,Red Blend,2020,California,USA,Non-Bordeaux Blend<$25,14,B
Dry Creek Vineyard,Old Vine Zinfandel,2019,Dry Creek Valley,USA,Zinfandel,38,B
Dry Creek Vineyard,The Mariner Premium Bordeaux Blend,2018,Dry Creek Valley,USA,Premium Bordeaux Blend >$25,50,G
Dry Creek Vineyard,Sauvignon Blanc,2020,Dry Creek Valley,USA,Sauvignon Blanc,20,G
Dry Creek Vineyard,Hillsdie '&' Benchland Cabernet Sauvignon,2018,Dry Creek Valley,USA,Cabernet Sauvignon,32,S
Dry Creek Vineyard,Dry Chenin Blanc,2020,Clarksburg,USA,Chenin Blanc .7% or below,16,S
Dry Creek Vineyard,Fume Blanc,2020,Sonoma County,USA,Sauvignon Blanc,16,S
Dry Creek Vineyard,Heritage Vines Zinfandel,2019,Sonoma County,USA,Zinfandel,26,S
Duca di Salaparuta,Kados Grillo,2020,Sicilia DOC,Italy,Italian White Varietal,20,B
Duca di Salaparuta,Passo Delle Mule Nero d'Avola,2019,Terre Siciliane IGT,Italy,Other Italian Reds,20,S
Duca di Salaparuta,Lavico Nerello Mascalese,2018,Sicilia DOC,Italy,Other Italian Reds,20,S
Duchman Family Winery,Vermentino,2019,Texas High Plains,USA,Italian White Varietal,26,B
Duchman Family Winery,Montepulciano,2017,Texas High Plains,USA,Other Italian Reds,35,B
Duchman Family Winery,Progression Red Blend,NV,Texas High Plains,USA,Other Italian Reds,48,B
Duchman Family Winery,Sangiovese,2019,Texas High Plains,USA,Sangiovese,28,B
Duchman Family Winery,Trebbiano,2019,Texas High Plains,USA,Italian White Varietal,24,G
Duchman Family Winery,Roussanne,2020,Texas High Plains,USA,White Rhône Varietal,26,G
Duchman Family Winery,Aglianico,2016,Texas High Plains,USA,Other Italian Reds,40,S
Duchman Family Winery,Tempranillo,2016,Texas Hill Country,USA,Tempranillo,52,S
Durant and Booth,Bourbon Barrel Aged Cabernet Sauvignon,2018,Napa Valley,USA,Cabernet Sauvignon,35,S
Durant Vineyards,Olivia Grace Pinot Noir,2018,Dundee Hills,USA,Pinot Noir,65,B
Durant Vineyards,Extra Brut,2018,Dundee Hills,USA,Brut (less than 12 g/l),60,G
Durant Vineyards,Dove Pinot Noir,2018,Dundee Hills,USA,Pinot Noir,50,GG
Dusk to Dawn,Chardonnay,2019,Russian River Valley,USA,Chardonnay,30,B
Dusk to Dawn,Pinot Noir,2020,Russian River Valley,USA,Pinot Noir,30,B
Dutcher Crossing Winery,Cooney Reserve Cabernet Sauvignon,2017,Alexander Valley,USA,Cabernet Sauvignon,52,B
Dutcher Crossing Winery,Kupferschmid Red Blend,2017,Dry Creek Valley,USA,Red Rhône Blend,42,G
Dutcher Crossing Winery,Proprietor's Reserve Syrah,2017,Dry Creek Valley,USA,Syrah / Shiraz,35,G
Dutcher Crossing Winery,Taylor Reserve Cabernet Sauvignon,2017,Dry Creek Valley,USA,Cabernet Sauvignon,52,S
Dutcher Crossing Winery,Dutchess Reserve Cabernet Sauvignon,2018,Napa Valley,USA,Cabernet Sauvignon,61,S
Dutcher Crossing Winery,Proprietor's Reserve Cabernet Sauvignon,2018,Dry Creek Valley,USA,Cabernet Sauvignon,36,S
Dutcher Crossing Winery,Proprietor's Reserve Petite Sirah,2017,Dry Creek Valley,USA,Petite Sirah,35,S
Eberle Winery,Estate Viognier,2020,Paso Robles,USA,Viognier,28,B
Eberle Winery,Cotes-du-Robles Blanc,2020,Paso Robles,USA,White Rhône Blend,28,B
Eberle Winery,Vineyard Selection Cabernet Sauvignon,2018,Paso Robles,USA,Cabernet Sauvignon,26,G
Eberle Winery,Estate Chardonnay,2020,Paso Robles,USA,Chardonnay,28,G
Eberle Winery,Syrah,2019,Paso Robles,USA,Syrah / Shiraz,34,G
Eberle Winery,Estate Cabernet Sauvignon,2018,Paso Robles,USA,Cabernet Sauvignon,52,S
Eberle Winery,Estate Muscat Canelli,2020,Paso Robles,USA,Muscat,24,S
Eberle Winery,Cotes-du-Roble Cotes-du-Robles,2019,Paso Robles,USA,Red Rhône Blend,34,S
Eberle Winery,Zinfandel,2019,Paso Robles,USA,Zinfandel,32,S
Ecco Domani,Pinot Grigio,2020,Delle Venezie,Italy,Pinot Gris/ Pinot Grigio,12,B
Eco Terreno,Sauvignon Blanc,2020,Alexander Valley,USA,Sauvignon Blanc,22,B
Eco Terreno,River Bed Cabernet Sauvignon,2018,Alexander Valley,USA,Cabernet Sauvignon,60,G
Eco Terreno,Bordeaux Blend,2019,Alexander Valley,USA,Bordeaux Blends<$25,22,GG
Eco Terreno,Bordeaux Blend,2018,Alexander Valley,USA,Bordeaux Blends<$25,22,S
Eco Terreno,Otono Cabernet Sauvignon,2017,Alexander Valley,USA,Cabernet Sauvignon,32,S
Eco Terreno,Pink Pride Rosé,2020,Alexander Valley,USA,Rosé,22,S
Eco Terreno,Sauvignon Blanc,2019,Alexander Valley,USA,Sauvignon Blanc,22,S
Eden Hill Vineyard,Wine=C2 Premium Bordeaux Blend,2019,Texas High Plains,USA,Premium Bordeaux Blend >$25,62,B
Eden Hill Vineyard,Divine Red Red Blend,2019,Texas High Plains,USA,Spanish / Portugese / Argentine Reds,0,B
Eden Hill Vineyard,Petite Sirah,2019,Texas High Plains,USA,Petite Sirah,52,S
Eden Hill Vineyard,Tempranillo/Cabernet Tempranillo,2020,Texas High Plains,USA,Tempranillo,55,S
Edge of the Lake Vineyard,Estate Grenache,2020,Texoma,USA,Grenache,36,B
Edge of the Lake Vineyard,Premium Red Blend,2020,Texas High Plains,USA,Premium Non- Bordeaux Blends>$25,43,B
Edge of the Lake Vineyard,Estate Tempranillo,2020,Texoma,USA,Tempranillo,42,B
Edge of the Lake Vineyard,Tempetite Tempranillo,2020,Texas High Plains,USA,Tempranillo,40,G
Edge of the Lake Vineyard,Barbera,2020,Texas High Plains,USA,Barbera,32,S
Edge of the Lake Vineyard,Tempranillo,2020,Texas High Plains,USA,Tempranillo,29,S
Edna Valley Vineyard,Cabernet Sauvignon,2019,Central Coast,USA,Cabernet Sauvignon,17,B
Edna Valley Vineyard,Chardonnay,2019,Central Coast,USA,Chardonnay,15,B
Edna Valley Vineyard,Pinot Noir,2019,Central Coast,USA,Pinot Noir,17,B
Edna Valley Vineyard,Pinot Grigio,2020,Central Coast,USA,Pinot Gris/ Pinot Grigio,16,G
Edna Valley Vineyard,Sauvignon Blanc,2020,Central Coast,USA,Sauvignon Blanc,16,G
Edna Valley Vineyard,Merlot,2019,Central Coast,USA,Merlot,16,S
Effingham Manor Winery,Reserve Premium Red Blend,2019,Virginia,USA,Premium Non- Bordeaux Blends>$25,49,B
Effingham Manor Winery,Rosé,2020,Virginia,USA,Rosé,34,B
Effingham Manor Winery,Viognier,2019,Virginia,USA,Viognier,34,G
Effingham Manor Winery,Tannat,2019,Virginia,USA,Other Red Varietal,44,S
El Pino Club,Sea Floored Pinot Noir,2019,Santa Rita Hills,USA,Pinot Noir,60,GG
Elephant in the Room,Jumbo Chardonnay,2021,Limestone Coast,Australia,Chardonnay,11,G
Elephant in the Room,Small Barrel Fantabulous Chardonnay,2020,Adelaide Hills,Australia,Chardonnay,24,S
Elephant in the Room,Small Barrel Splendiferous Shiraz,2019,Barossa,Australia,Syrah / Shiraz,24,S
Emma Marris,Sauvignon Blanc,2021,Marlborough,New Zealand,Sauvignon Blanc,20,S
English Newsom Cellars,Cabernet Sauvignon,2019,Texas High Plains,USA,Cabernet Sauvignon,30,B
English Newsom Cellars,Merlot,2019,Texas High Plains,USA,Merlot,30,B
English Newsom Cellars,Mourvèdre,2019,Texas High Plains,USA,Mourvèdre,30,B
English Newsom Cellars,Red Blend,2019,Texas High Plains,USA,Premium Non- Bordeaux Blends>$25,30,B
English Newsom Cellars,Albariño,2019,Texas High Plains,USA,Spanish / Argentine/ Portugese White Varietals,27,B
English Newsom Cellars,Tempranillo,2019,Texas High Plains,USA,Tempranillo,30,B
English Newsom Cellars,Flirt Blush Wine,2018,Texas High Plains,USA,Varietal Blush Wine,17,B
English Newsom Cellars,Reserve Cabernet Sauvignon,2019,Texas High Plains,USA,Cabernet Sauvignon,35,GG
English Newsom Cellars,Picardan,2019,Texas High Plains,USA,White Rhône Varietal,22,GG
English Newsom Cellars,Trebbiano,2020,Texas High Plains,USA,Italian White Varietal,23,S
English Newsom Cellars,Montepulciano,2019,Texas High Plains,USA,Other Italian Reds,30,S
English Newsom Cellars,Sagrantino,2019,Texas High Plains,USA,Other Italian Reds,30,S
English Newsom Cellars,Reserve Viognier,2019,Hockley County|Texas High Plains,USA,Viognier,23,S
English Newsom Cellars,Roussanne,2019,Hockley County|Texas High Plains,USA,White Rhône Varietal,23,S
Essay,Chenin Blanc Viognier Roussanne,2021,Coastal Region,South Africa,Other White Blend .7% or below,12,S
Etyeki Kuria,Pinot Noir,2017,Etyek-Buda,Hungary,Pinot Noir,17,B
Euforia,Red Blend,2019,Valle de Guadalupe,Baja California,Non-Bordeaux Blend<$25,25,B
Experience,Trail 3150 Estate Premium Bordeaux Blend,2018,Oak Knoll,USA,Premium Bordeaux Blend >$25,60,B
Experience,Cabernet Sauvignon,2019,Napa Valley,USA,Cabernet Sauvignon,30,S
Exquisite,Chardonnay,2019,California,USA,Chardonnay,8,B
Eyeris,Cabernet Sauvignon,2018,Napa Valley,USA,Cabernet Sauvignon,100,GG
F de Fuentespina,DO Ribera del Duero,2017,DO Ribera del Duero,Spain,Tempranillo,60,B
Farm Hand,Organic Shiraz,2020,Monash Valley| South Australia,Australia,Syrah / Shiraz,11,S
Farma Pálava s.r.o./Vican rodinné vinařství,výběr z hroznů Pálava,2020,Mikulovská,Czech Republic,Other White Varietal 2% or above,113,B
Farma Pálava s.r.o./Vican rodinné vinařství,výběr z cibéb Ryzlink vlašský,2018,Mikulovská,Czech Republic,Other White Varietal 6% or above,16,G
Farma Pálava s.r.o./Vican rodinné vinařství,výběr z hroznů EDICE Karel Roden Ryzlink rýnský,2019,Mikulovská,Czech Republic,Riesling 0.71% r.s. or above,16,G
Farma Pálava s.r.o./Vican rodinné vinařství,výběr z hroznů Tramín červený,2020,Mikulovská,Czech Republic,Gewürztraminer .71% or above,13,S
Farma Pálava s.r.o./Vican rodinné vinařství,pozdní sběr Muškát moravský,2020,Mikulovská,Czech Republic,Muscat,11,S
Farma Pálava s.r.o./Vican rodinné vinařství,pozdní sběr Pálava,2020,Mikulovská,Czech Republic,Other White Varietal .71% or above,11,S
Fazi-Battaglia,Verdicchio,2020,Le Marche,Italy,Italian White Varietal,11,B
Ferrari-Carano Vineyards '&' Winery,Cabernet Sauvignon,2018,Sonoma County,USA,Cabernet Sauvignon,45,G
Ferrari-Carano Vineyards '&' Winery,Chardonnay,2019,Sonoma County,USA,Chardonnay,25,GG
Ferrari-Carano Vineyards '&' Winery,Reserve Cabernet Sauvignon,2018,Alexander Valley,USA,Cabernet Sauvignon,65,S
Ferrari-Carano Vineyards '&' Winery,Merlot,2019,Sonoma County,USA,Merlot,32,S
Ficarra Cellars,Dolcecco Sparkling White Wine,2020,Columbia Valley,USA,Semi-Sparkling,23,B
Ficarra Cellars,Tempranillo,2019,California,USA,Tempranillo,27,B
Ficarra Cellars,Poetessa Pinot Noir,2019,Russian River Valley,USA,Pinot Noir,30,S
Firebrand,Chardonnay,2020,California,USA,Chardonnay,10,S
Firehouse Wine Cellars,Grenache Noir,2019,American,USA,Grenache,30,S
Firehouse Wine Cellars,The American Marquette,2019,South Dakota,USA,Hybrid Red Varietal,35,S
Firesteed Cellars,Pinot Noir,2020,Oregon,USA,Pinot Noir,16,B
Firestone Vineyard,Cabernet Sauvignon,2019,Paso Robles,USA,Cabernet Sauvignon,22,S
Firestone Vineyard,Chardonnay,2020,Santa Barbara,USA,Chardonnay,18,S
Firestone Vineyard,Merlot,2019,Santa Ynez Valley,USA,Merlot,20,S
Flambeaux,Chardonnay,2018,Sonoma Coast,USA,Chardonnay,50,B
Flambeaux,Zinfandel,2018,Dry Creek Valley,USA,Zinfandel,50,G
Flambeaux,Cabernet Sauvignon,2017,Dry Creek Valley,USA,Cabernet Sauvignon,60,S
Flambeaux,Cabernet Sauvignon,2017,Alexander Valley,USA,Cabernet Sauvignon,70,S
Flat Creek Estate,Aglianico,2017,Texas,USA,Other Italian Reds,35,S
Flat Creek Estate,Super Texan Sangiovese,2017,Texas,USA,Sangiovese,28,S
Flavabom,Vine Dried Shiraz,2020,South Australia,Australia,Syrah / Shiraz,18,G
Florio Targa Marsala,Riserva Semisecco,2007,Marsala Superiore DOC,Italy,Other Fortified Wine,20,GG
Flying Suitcase Wines,Cabernet Sauvignon,2017,Rutherford| Napa Valley,USA,Cabernet Sauvignon,60,B
Flying Suitcase Wines,Syrah,2016,Amador County,USA,Syrah / Shiraz,35,B
Flying Suitcase Wines,Cabernet Syrah,NV,California,USA,Cabernet / Shiraz or Syrah Blends,49,S
Flying Suitcase Wines,Malbec,2018,Russian River Valley,USA,Malbec,40,S
Flying Suitcase Wines,Premium Bordeaux Blend,NV,California,USA,Premium Bordeaux Blend >$25,40,S
Flying Suitcase Wines,Syrah,2017,Russian River Valley,USA,Syrah / Shiraz,35,S
Fogbound,White Blend,2020,Monterey County,USA,Other White Blend .7% or below,18,B
Foley Estates Winery,Cabernet Sauvignon,2017,Alexander Valley,USA,Cabernet Sauvignon,48,B
Fortant,Terroir Littoral Chardonnay,2020,Pays d'Oc,France,Chardonnay,10,B
Fortant,Terroir Littoral Rosé,2020,Pays d'Oc,France,Varietal Rosé,10,B
Fortant,Terroir Littoral Cabernet Sauvignon,2019,Pays d'Oc,France,Cabernet Sauvignon,10,S
Founder's Ranch,Chardonnay,2019,Napa Valley,USA,Chardonnay,30,B
Founder's Ranch,Cabernet Sauvignon,2018,Napa Valley,USA,Cabernet Sauvignon,35,S
Founder's Ranch,Cabernet Sauvignon,2019,St. Helena| Napa Valley,USA,Cabernet Sauvignon,60,S
Founder's Ranch,Merlot,2019,Napa Valley,USA,Merlot,35,S
Founder's Ranch,Red Blend,2018,Napa Valley,USA,Premium Non- Bordeaux Blends>$25,35,S
Four Vines Winery,The Kinker Cabernet Sauvignon,2020,Paso Robles,USA,Cabernet Sauvignon,18,G
Four Vines Winery,Cowboy Poet Cabernet Sauvignon,2019,Paso Robles,USA,Cabernet Sauvignon,19,S
Four Vines Winery,Naked Chardonnay,2020,Central Coast,USA,Chardonnay,13,S
Four Vines Winery,Maverick 100,2019,Monterey,USA,Pinot Noir,18,S
Four Vines Winery,Old Vine Zinfandel,2019,Lodi,USA,Zinfandel,13,S
Four Vines Winery,The Biker Zinfandel,2019,Paso Robles,USA,Zinfandel,18,S
Foxen Vineyard,Cellar Select Pinot Noir,2018,Sta. Rita Hills,USA,Pinot Noir,40,S
Francis Ford Coppola,Reserve Cabernet Sauvignon,2018,Alexander Valley,USA,Cabernet Sauvignon,62,G
Francis Ford Coppola,Archimedes Cabernet Sauvignon,2018,Alexander Valley,USA,Cabernet Sauvignon,120,G
Francis Ford Coppola,Director's Cut Cabernet Sauvignon,2018,Sonoma County,USA,Cabernet Sauvignon,25,G
Francis Ford Coppola,Eleanor Cabernet / Syrah,2017,Napa County '&' Sonoma County,USA,Cabernet / Shiraz or Syrah Blends,80,GG
Francis Ford Coppola,Director's Cut Cabernet Sauvignon,2018,Alexander Valley,USA,Cabernet Sauvignon,34,S
Francis Ford Coppola,Diamond Collection Appellation Series Cabernet Sauvignon,2019,Paso Robles,USA,Cabernet Sauvignon,21,S
Francis Ford Coppola,Diamond Collection Claret Cabernet Sauvignon,2018,California,USA,Cabernet Sauvignon,21,S
Francis Ford Coppola,Diamond Collection Cabernet Sauvignon Cabernet Sauvignon,2018,California,USA,Cabernet Sauvignon,19,S
Francis Ford Coppola,Reserve Chardonnay,2019,Russian River Valley,USA,Chardonnay,41,S
Francis Ford Coppola,Director's Cut Chardonnay,2020,Russian River Valley,USA,Chardonnay,30,S
Francis Ford Coppola,Diamond Collection Pavilion Chardonnay,2019,Sonoma Coast,USA,Chardonnay,20,S
Francis Ford Coppola,Reserve Pinot Noir,2018,Russian River Valley,USA,Pinot Noir,48,S
Francis Ford Coppola,Director's Cut Pinot Noir,2019,Russian River Valley,USA,Pinot Noir,32,S
Francis Ford Coppola,Director's Cut Cinema Red Blend,2018,Sonoma County,USA,Premium Non- Bordeaux Blends>$25,44,S
Francis Ford Coppola,Director's Cut Sauvignon Blanc,2020,Alexander Valley,USA,Sauvignon Blanc,24,S
Francis Ford Coppola,Reserve Syrah,2019,Dry Creek Valley,USA,Syrah / Shiraz,42,S
Francis Ford Coppola,Director's Cut Zinfandel,2018,Dry Creek Valley,USA,Zinfandel,30,S
Franz '&' Fritz,White Field Blend,2021,Riverland,Australia,Other White Blend .71% or above,18,B
Frei Brothers Reserve,Pinot Noir,2019,California,USA,Pinot Noir,27,B
Frei Brothers Reserve,Cabernet Sauvignon,2018,California,USA,Cabernet Sauvignon,27,S
Frei Brothers Reserve,Chardonnay,2019,California,USA,Chardonnay,20,S
Frei Brothers Reserve,Merlot,2019,Dry Creek,USA,Merlot,20,S
Frog's Tooth Winery,Barbera,2018,Sierra Foothills,USA,Barbera,34,B
Frog's Tooth Winery,Cabernet Sauvignon,2018,Sierra Foothills Winery,USA,Cabernet Sauvignon,40,B
